game_id,rec_h,rec_a,h_xg_all,h_npxg,h_xg_open,h_xg_openstr,h_xg_sp,h_xg_level,h_xgot_sum,h_pens,h_shots_n,a_xg_all,a_npxg,a_xg_open,a_xg_openstr,a_xg_sp,a_xg_level,a_xgot_sum,a_pens,a_shots_n
4650109,2,1,1.84,1.05,0.8300000000000001,0.51,0.22,0.9300000000000002,1.56,1.0,17.0,0.6100000000000001,0.6100000000000001,0.6100000000000001,0.5100000000000001,0.0,0.41,0.79,0.0,12.0
4650110,3,2,1.4800000000000002,1.4800000000000002,1.39,1.2900000000000005,0.09,1.08,1.07,0.0,18.0,1.7100000000000002,0.9200000000000002,0.7100000000000002,0.6900000000000002,0.21,0.27,1.12,1.0,16.0
4650111,0,5,0.35,0.35,0.35,0.21,0.0,0.0,0.0,0.0,3.0,3.5400000000000005,2.750000000000001,2.520000000000001,2.520000000000001,0.2299999999999999,0.73,4.930000000000001,1.0,23.0
4650112,1,1,1.1,1.1,0.8499999999999999,0.6200000000000001,0.25,0.49,2.43,0.0,13.0,1.93,1.93,1.8900000000000003,0.81,0.04,1.86,1.42,0.0,14.0
4650113,1,2,1.4300000000000002,0.6400000000000001,0.55,0.37,0.09,0.36,1.52,1.0,14.0,0.7400000000000001,0.7400000000000001,0.7400000000000001,0.7000000000000001,0.0,0.51,1.5299999999999998,0.0,9.0
4650114,3,5,0.81,0.81,0.77,0.73,0.04,0.15,1.01,0.0,13.0,0.77,0.77,0.76,0.7100000000000001,0.01,0.07,1.93,0.0,14.0
4650115,2,1,2.2400000000000007,2.2400000000000007,2.2400000000000007,2.140000000000001,0.0,1.2599999999999998,2.03,0.0,25.0,0.37,0.37,0.26,0.24,0.11,0.26,0.3,0.0,8.0
4650116,1,3,0.3,0.3,0.3,0.3,0.0,0.07,0.15,0.0,8.0,2.3000000000000003,2.3000000000000003,2.1300000000000003,1.38,0.17,1.2,2.68,0.0,28.0
4650117,1,1,1.5000000000000002,0.71,0.4700000000000001,0.4700000000000001,0.24,0.4600000000000001,0.93,1.0,15.0,1.75,0.96,0.89,0.89,0.07,0.25,1.47,1.0,9.0
4650118,2,1,1.1,1.1,1.05,0.8399999999999999,0.05,0.28,0.8,0.0,11.0,2.72,2.72,2.56,2.29,0.16,0.22,1.1,0.0,22.0
4650119,0,1,0.41,0.41,0.41,0.41,0.0,0.41,0.69,0.0,8.0,1.5300000000000005,1.5300000000000005,1.5000000000000002,1.1900000000000004,0.03,1.4900000000000004,1.26,0.0,20.0
4650120,2,3,2.39,0.81,0.78,0.71,0.03,0.0,2.59,2.0,8.0,2.3000000000000007,0.7200000000000001,0.3499999999999999,0.17,0.37,0.19,2.31,2.0,16.0
4650121,2,2,1.1700000000000004,1.1700000000000004,1.0,0.8600000000000001,0.17,0.8200000000000002,1.61,0.0,21.0,0.73,0.73,0.73,0.73,0.0,0.52,0.8200000000000001,0.0,3.0
4650122,1,1,1.15,1.15,1.06,0.92,0.09,0.76,1.23,0.0,13.0,0.95,0.95,0.8600000000000001,0.7000000000000001,0.09,0.67,1.01,0.0,9.0
4650123,1,4,0.5,0.5,0.37,0.37,0.13,0.01,0.36,0.0,8.0,2.3800000000000003,1.5900000000000003,1.2300000000000002,1.15,0.36,1.0200000000000002,3.1,1.0,15.0
4650187,1,1,0.57,0.57,0.57,0.57,0.0,0.57,0.54,0.0,6.0,0.13,0.13,0.13,0.13,0.0,0.13,0.0,0.0,3.0
4650188,2,0,0.88,0.88,0.88,0.37,0.0,0.08,1.61,0.0,7.0,2.8000000000000003,2.8000000000000003,2.6300000000000003,1.9200000000000004,0.1699999999999999,0.52,1.15,0.0,32.0
4650189,4,1,0.56,0.56,0.48,0.4599999999999999,0.08,0.1399999999999999,0.94,0.0,9.0,0.7200000000000001,0.7200000000000001,0.64,0.23,0.08,0.02,0.42,0.0,11.0
4670665,0,5,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.0,3.0,1.7500000000000002,1.7500000000000002,1.5200000000000002,0.81,0.23,1.02,1.96,0.0,23.0
